id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,interest_match
1,Senso-ji,Tokyo,temple,4.5,76000,history|culture|temple,Tokyo Station,5.2,0.92
2,Tokyo Skytree,Tokyo,landmark,4.4,91000,city_view|shopping|landmark,Tokyo Station,6.1,0.82
3,Meiji Jingu,Tokyo,shrine,4.6,39000,history|nature|shrine,Tokyo Station,6.4,0.88
4,Shibuya Crossing,Tokyo,landmark,4.5,42000,city_walk|photo|shopping,Tokyo Station,7.1,0.76
5,Ueno Park,Tokyo,park,4.3,31000,nature|museum|family,Tokyo Station,4.1,0.79
6,Tsukiji Outer Market,Tokyo,food,4.2,28000,food|market|local,Tokyo Station,2.6,0.91
7,teamLab Planets,Tokyo,museum,4.6,23000,art|indoor|photo,Tokyo Station,5.4,0.84
8,Akihabara Electric Town,Tokyo,shopping,4.3,26000,anime|shopping|culture,Tokyo Station,2.8,0.77
9,Tokyo Tower,Tokyo,landmark,4.4,78000,city_view|landmark|night_view,Tokyo Station,3.5,0.80
10,Imperial Palace East Gardens,Tokyo,garden,4.3,17000,history|garden|walk,Tokyo Station,1.5,0.74
11,Fushimi Inari Taisha,Kyoto,shrine,4.6,86000,shrine|history|hiking,Kyoto Station,2.9,0.90
12,Kiyomizu-dera,Kyoto,temple,4.5,58000,temple|history|city_view,Kyoto Station,3.7,0.89
13,Arashiyama Bamboo Grove,Kyoto,nature,4.4,52000,nature|photo|walk,Kyoto Station,10.3,0.85
14,Kinkaku-ji,Kyoto,temple,4.5,46000,temple|history|garden,Kyoto Station,8.7,0.87
15,Gion,Kyoto,district,4.4,25000,culture|city_walk|food,Kyoto Station,2.8,0.83
16,Nijo Castle,Kyoto,castle,4.4,36000,history|castle|garden,Kyoto Station,3.6,0.81
17,Nishiki Market,Kyoto,food,4.2,31000,food|market|local,Kyoto Station,2.9,0.90
18,Philosopher's Path,Kyoto,walk,4.3,12000,nature|walk|seasonal,Kyoto Station,6.2,0.72
19,Ryoan-ji,Kyoto,temple,4.4,11000,temple|garden|quiet,Kyoto Station,8.2,0.75
20,Kyoto Railway Museum,Kyoto,museum,4.4,15000,museum|family|indoor,Kyoto Station,1.6,0.68
21,Dotonbori,Osaka,district,4.4,79000,food|night_view|city_walk,Osaka Station,4.2,0.92
22,Osaka Castle,Osaka,castle,4.4,72000,history|castle|park,Osaka Station,3.7,0.84
23,Universal Studios Japan,Osaka,theme_park,4.5,105000,theme_park|family|anime,Osaka Station,8.1,0.86
24,Kuromon Ichiba Market,Osaka,food,4.1,23000,food|market|local,Osaka Station,4.7,0.88
25,Shinsekai,Osaka,district,4.1,22000,food|retro|city_walk,Osaka Station,6.0,0.78
26,Umeda Sky Building,Osaka,landmark,4.4,33000,city_view|architecture|night_view,Osaka Station,0.9,0.77
27,Osaka Aquarium Kaiyukan,Osaka,aquarium,4.4,45000,aquarium|family|indoor,Osaka Station,9.6,0.82
28,Sumiyoshi Taisha,Osaka,shrine,4.4,13000,shrine|history|quiet,Osaka Station,10.2,0.70
29,Tennoji Park,Osaka,park,4.2,11000,nature|family|walk,Osaka Station,6.5,0.69
30,Namba Yasaka Shrine,Osaka,shrine,4.4,9000,shrine|photo|culture,Osaka Station,4.8,0.73
31,Shuri Castle Park,Okinawa,castle,4.2,21000,history|castle|culture,Naha Bus Terminal,5.8,0.83
32,Okinawa Churaumi Aquarium,Okinawa,aquarium,4.6,56000,aquarium|family|nature,Naha Bus Terminal,88.0,0.88
33,Kokusai Dori,Okinawa,shopping,4.0,19000,food|shopping|city_walk,Naha Bus Terminal,1.3,0.79
34,American Village,Okinawa,district,4.2,24000,shopping|night_view|photo,Naha Bus Terminal,18.0,0.74
35,Manzamo,Okinawa,nature,4.3,16000,nature|coast|photo,Naha Bus Terminal,42.0,0.81
36,Blue Cave,Okinawa,nature,4.5,8000,diving|nature|coast,Naha Bus Terminal,36.0,0.86
37,Naminoue Shrine,Okinawa,shrine,4.2,9000,shrine|coast|culture,Naha Bus Terminal,1.8,0.70
38,Okinawa World,Okinawa,culture,4.1,15000,culture|cave|family,Naha Bus Terminal,14.0,0.77
39,Tamaudun,Okinawa,heritage,4.0,5000,history|culture|heritage,Naha Bus Terminal,4.7,0.66
40,Sefa-utaki,Okinawa,heritage,4.3,7000,history|nature|heritage,Naha Bus Terminal,23.0,0.76
