id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,interest_match,rating_norm,review_norm,station_distance_efficiency,xai_score
11,Fushimi Inari Taisha,Kyoto,shrine,4.6,86000,shrine|history|hiking,Kyoto Station,2.9,0.90,0.9200,0.9827,0.6329,0.9061
1,Senso-ji,Tokyo,temple,4.5,76000,history|culture|temple,Tokyo Station,5.2,0.92,0.9000,0.9720,0.4902,0.8846
21,Dotonbori,Osaka,district,4.4,79000,food|night_view|city_walk,Osaka Station,4.2,0.92,0.8800,0.9754,0.5435,0.8830
12,Kiyomizu-dera,Kyoto,temple,4.5,58000,temple|history|city_view,Kyoto Station,3.7,0.89,0.9000,0.9487,0.5747,0.8801
23,Universal Studios Japan,Osaka,theme_park,4.5,105000,theme_park|family|anime,Osaka Station,8.1,0.86,0.9000,1.0000,0.3817,0.8702
22,Osaka Castle,Osaka,castle,4.4,72000,history|castle|park,Osaka Station,3.7,0.84,0.8800,0.9674,0.5747,0.8677
55,Hiroshima Peace Memorial Museum,Chugoku,museum,4.6,26000,history|museum|education,Hiroshima Station,2.4,0.82,0.9200,0.8793,0.6757,0.8633
9,Tokyo Tower,Tokyo,landmark,4.4,78000,city_view|landmark|night_view,Tokyo Station,3.5,0.80,0.8800,0.9743,0.5882,0.8631
3,Meiji Jingu,Tokyo,shrine,4.6,39000,history|nature|shrine,Tokyo Station,6.4,0.88,0.9200,0.9143,0.4386,0.8622
26,Umeda Sky Building,Osaka,landmark,4.4,33000,city_view|architecture|night_view,Osaka Station,0.9,0.77,0.8800,0.8999,0.8475,0.8607
2,Tokyo Skytree,Tokyo,landmark,4.4,91000,city_view|shopping|landmark,Tokyo Station,6.1,0.82,0.8800,0.9876,0.4505,0.8573
6,Tsukiji Outer Market,Tokyo,food,4.2,28000,food|market|local,Tokyo Station,2.6,0.91,0.8400,0.8857,0.6579,0.8495
14,Kinkaku-ji,Kyoto,temple,4.5,46000,temple|history|garden,Kyoto Station,8.7,0.87,0.9000,0.9286,0.3650,0.8491
17,Nishiki Market,Kyoto,food,4.2,31000,food|market|local,Kyoto Station,2.9,0.90,0.8400,0.8945,0.6329,0.8476
15,Gion,Kyoto,district,4.4,25000,culture|city_walk|food,Kyoto Station,2.8,0.83,0.8800,0.8759,0.6410,0.8449
7,teamLab Planets,Tokyo,museum,4.6,23000,art|indoor|photo,Tokyo Station,5.4,0.84,0.9200,0.8687,0.4808,0.8447
16,Nijo Castle,Kyoto,castle,4.4,36000,history|castle|garden,Kyoto Station,3.6,0.81,0.8800,0.9074,0.5814,0.8444
13,Arashiyama Bamboo Grove,Kyoto,nature,4.4,52000,nature|photo|walk,Kyoto Station,10.3,0.85,0.8800,0.9392,0.3268,0.8364
32,Okinawa Churaumi Aquarium,Okinawa,aquarium,4.6,56000,aquarium|family|nature,Naha Bus Terminal,88.0,0.88,0.9200,0.9456,0.0538,0.8331
41,Odori Park,Hokkaido,park,4.2,24000,nature|seasonal|walk,Sapporo Station,1.0,0.76,0.8400,0.8723,0.8333,0.8330
51,Nara Park,Kansai,park,4.5,62000,nature|family|culture,Osaka Station,37.0,0.86,0.9000,0.9544,0.1190,0.8302
54,Miyajima Itsukushima Shrine,Chugoku,shrine,4.6,38000,shrine|coast|history,Hiroshima Station,26.0,0.86,0.9200,0.9121,0.1613,0.8298
4,Shibuya Crossing,Tokyo,landmark,4.5,42000,city_walk|photo|shopping,Tokyo Station,7.1,0.76,0.9000,0.9207,0.4132,0.8295
27,Osaka Aquarium Kaiyukan,Osaka,aquarium,4.4,45000,aquarium|family|indoor,Osaka Station,9.6,0.82,0.8800,0.9267,0.3425,0.8283
52,Todai-ji,Kansai,temple,4.6,35000,temple|history|culture,Osaka Station,38.0,0.88,0.9200,0.9050,0.1163,0.8271
8,Akihabara Electric Town,Tokyo,shopping,4.3,26000,anime|shopping|culture,Tokyo Station,2.8,0.77,0.8600,0.8793,0.6410,0.8259
5,Ueno Park,Tokyo,park,4.3,31000,nature|museum|family,Tokyo Station,4.1,0.79,0.8600,0.8945,0.5495,0.8253
10,Imperial Palace East Gardens,Tokyo,garden,4.3,17000,history|garden|walk,Tokyo Station,1.5,0.74,0.8600,0.8425,0.7692,0.8217
53,Himeji Castle,Kansai,castle,4.6,47000,castle|history|heritage,Osaka Station,88.0,0.83,0.9200,0.9305,0.0538,0.8185
24,Kuromon Ichiba Market,Osaka,food,4.1,23000,food|market|local,Osaka Station,4.7,0.88,0.8200,0.8687,0.5155,0.8161
20,Kyoto Railway Museum,Kyoto,museum,4.4,15000,museum|family|indoor,Kyoto Station,1.6,0.68,0.8800,0.8317,0.7576,0.8133
33,Kokusai Dori,Okinawa,shopping,4.0,19000,food|shopping|city_walk,Naha Bus Terminal,1.3,0.79,0.8000,0.8521,0.7937,0.8130
31,Shuri Castle Park,Okinawa,castle,4.2,21000,history|castle|culture,Naha Bus Terminal,5.8,0.83,0.8400,0.8608,0.4630,0.8065
42,Sapporo TV Tower,Hokkaido,landmark,4.0,15000,city_view|landmark|night_view,Sapporo Station,1.0,0.69,0.8000,0.8317,0.8333,0.7908
25,Shinsekai,Osaka,district,4.1,22000,food|retro|city_walk,Osaka Station,6.0,0.78,0.8200,0.8648,0.4545,0.7889
44,Shiroi Koibito Park,Hokkaido,theme_park,4.2,18000,dessert|family|indoor,Sapporo Station,7.4,0.78,0.8400,0.8475,0.4032,0.7866
37,Naminoue Shrine,Okinawa,shrine,4.2,9000,shrine|coast|culture,Naha Bus Terminal,1.8,0.70,0.8400,0.7875,0.7353,0.7858
30,Namba Yasaka Shrine,Osaka,shrine,4.4,9000,shrine|photo|culture,Osaka Station,4.8,0.73,0.8800,0.7875,0.5102,0.7853
45,Otaru Canal,Hokkaido,landmark,4.3,31000,canal|photo|history,Sapporo Station,38.0,0.80,0.8600,0.8945,0.1163,0.7840
50,Mount Moiwa Ropeway,Hokkaido,landmark,4.3,12000,city_view|night_view|nature,Sapporo Station,6.3,0.75,0.8600,0.8124,0.4425,0.7820
19,Ryoan-ji,Kyoto,temple,4.4,11000,temple|garden|quiet,Kyoto Station,8.2,0.75,0.8800,0.8049,0.3788,0.7813
47,Noboribetsu Jigokudani,Hokkaido,nature,4.4,19000,nature|hot_spring|hiking,Sapporo Station,110.0,0.84,0.8800,0.8521,0.0435,0.7800
48,Asahiyama Zoo,Hokkaido,zoo,4.4,23000,zoo|family|nature,Sapporo Station,145.0,0.81,0.8800,0.8687,0.0333,0.7779
36,Blue Cave,Okinawa,nature,4.5,8000,diving|nature|coast,Naha Bus Terminal,36.0,0.86,0.9000,0.7773,0.1220,0.7774
18,Philosopher's Path,Kyoto,walk,4.3,12000,nature|walk|seasonal,Kyoto Station,6.2,0.72,0.8600,0.8124,0.4464,0.7764
28,Sumiyoshi Taisha,Osaka,shrine,4.4,13000,shrine|history|quiet,Osaka Station,10.2,0.70,0.8800,0.8193,0.3289,0.7707
35,Manzamo,Okinawa,nature,4.3,16000,nature|coast|photo,Naha Bus Terminal,42.0,0.81,0.8600,0.8373,0.1064,0.7678
43,Moerenuma Park,Hokkaido,park,4.4,9000,nature|art|family,Sapporo Station,10.0,0.73,0.8800,0.7875,0.3333,0.7676
34,American Village,Okinawa,district,4.2,24000,shopping|night_view|photo,Naha Bus Terminal,18.0,0.74,0.8400,0.8723,0.2174,0.7674
46,Farm Tomita,Hokkaido,nature,4.4,13000,flower|nature|seasonal,Sapporo Station,120.0,0.82,0.8800,0.8193,0.0400,0.7658
29,Tennoji Park,Osaka,park,4.2,11000,nature|family|walk,Osaka Station,6.5,0.69,0.8400,0.8049,0.4348,0.7589
